tconst,ordering,nconst,category,characters,averageRating,numVotes,directors,writers,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres,decennie_startYear,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,region,language,isOriginalTitle
tt0241802,7,nm1292871,actor,Jakub,6.8,165,nm0904605,nm0904605,movie,Paralelní svety,0.0,2001.0,100.0,Drama,2000.0,Eduard Jenický,1969.0,,actor,"tt2427220,tt1348318,tt3222644,tt3508590",Les mondes parallèles,FR,fr,0
tt0241802,10,nm1297035,actress,unknown,6.8,165,nm0904605,nm0904605,movie,Paralelní svety,0.0,2001.0,100.0,Drama,2000.0,Hana Ulrichová,,,actress,"tt0241802,tt1239415,tt1327679,tt10733720",Les mondes parallèles,FR,fr,0
tt0368563,14,nm0126500,writer,unknown,5.4,8181,"nm0075150,nm0762217","nm0678104,nm0126500,nm1236649,nm1030706",movie,Possession,0.0,2009.0,85.0,"Drama,Horror,Mystery",2000.0,Won-mi Byun,,,writer,"tt0336678,tt0368563,tt1233503,tt0145418",Possession,FR,fr,0
tt0368563,15,nm1236649,writer,unknown,5.4,8181,"nm0075150,nm0762217","nm0678104,nm0126500,nm1236649,nm1030706",movie,Possession,0.0,2009.0,85.0,"Drama,Horror,Mystery",2000.0,Min-ho Song,,,writer,"tt0330807,tt0368563,tt0923714,tt0488807",Possession,FR,fr,0
tt0317842,10,nm1591300,actress,Teacher,7.4,2495,nm0074844,nm0074844,movie,Knafayim Shvurot,0.0,2002.0,87.0,Drama,2000.0,Orit Boger,,,actress,"tt0317842,tt0145518",Broken Wings,FR,fr,0
tt0317842,4,nm1264513,actor,Ido Ulman,7.4,2495,nm0074844,nm0074844,movie,Knafayim Shvurot,0.0,2002.0,87.0,Drama,2000.0,Daniel Magon,1988.0,,actor,"tt0808145,tt0317842,tt0380126,tt14697300",Broken Wings,FR,fr,0
tt0317842,5,nm1263764,actress,Bahr Ulman,7.4,2495,nm0074844,nm0074844,movie,Knafayim Shvurot,0.0,2002.0,87.0,Drama,2000.0,Eliana Magon,1993.0,,actress,"tt0317842,tt14690654,tt31710581",Broken Wings,FR,fr,0
tt0146309,4,nm0177020,actor,Mark O'Donnell,7.3,62976,nm0002044,"nm0783100,nm0561943,nm0954546",movie,Thirteen Days,0.0,2000.0,145.0,"Drama,History,Thriller",2000.0,Drake Cook,,,actor,tt0146309,Treize Jours,FR,fr,0
tt0146309,10,nm0171065,actress,Evelyn Lincoln,7.3,62976,nm0002044,"nm0783100,nm0561943,nm0954546",movie,Thirteen Days,0.0,2000.0,145.0,"Drama,History,Thriller",2000.0,Janet Coleman,,,actress,tt0146309,Treize Jours,FR,fr,0
tt0146309,13,nm0561943,writer,unknown,7.3,62976,nm0002044,"nm0783100,nm0561943,nm0954546",movie,Thirteen Days,0.0,2000.0,145.0,"Drama,History,Thriller",2000.0,Ernest R. May,1931.0,2009.0,writer,"tt0146309,tt0306028,tt0381069",Treize Jours,FR,fr,0
tt0146316,10,nm1104138,actor,"Julius, Assault Team Leader",5.8,219672,nm0922346,"nm0153384,nm0108273,nm0171718,nm0922346,nm0557266,nm0957003",movie,Lara Croft: Tomb Raider,0.0,2001.0,100.0,"Action,Adventure,Fantasy",2000.0,Robert Phillips,1980.0,,actor,"tt0146316,tt11137272,tt0241383,tt12134460",Lara Croft: Tomb Raider,FR,fr,0
tt0282593,3,nm0354693,actress,Saleslady,5.9,3582,nm1073965,nm0690053,movie,I'm with Lucy,0.0,2002.0,90.0,"Comedy,Romance",2000.0,Linda Halaska,,,actress,"tt0203259,tt0159206,tt0282593,tt0275140",Autour de Lucy,FR,fr,0
tt0282593,13,nm0513927,producer,unknown,5.9,3582,nm1073965,nm0690053,movie,I'm with Lucy,0.0,2002.0,90.0,"Comedy,Romance",2000.0,Fabien Liron,,,producer,"tt0282593,tt0183503",Autour de Lucy,FR,fr,0
tt0146882,9,nm0716854,actor,Vince,7.4,190591,nm0001241,"nm0394984,nm0222584,nm0684336,nm0000131,nm0003298",movie,High Fidelity,0.0,2000.0,113.0,"Comedy,Drama,Music",2000.0,Chris Rehmann,,,actor,"tt0146882,tt0115163,tt0278255,tt2056709",Haute fidélité,FR,fr,0
tt0146882,9,nm0716854,actor,Vince,7.4,190591,nm0001241,"nm0394984,nm0222584,nm0684336,nm0000131,nm0003298",movie,High Fidelity,0.0,2000.0,113.0,"Comedy,Drama,Music",2000.0,Chris Rehmann,,,actor,"tt0146882,tt0115163,tt0278255,tt2056709",High Fidelity,FR,fr,0
tt0146882,10,nm0139604,actor,Justin,7.4,190591,nm0001241,"nm0394984,nm0222584,nm0684336,nm0000131,nm0003298",movie,High Fidelity,0.0,2000.0,113.0,"Comedy,Drama,Music",2000.0,Ben Carr,1981.0,,actor,"tt0146882,tt0845968,tt18277720,tt32573811",Haute fidélité,FR,fr,0
tt0146882,10,nm0139604,actor,Justin,7.4,190591,nm0001241,"nm0394984,nm0222584,nm0684336,nm0000131,nm0003298",movie,High Fidelity,0.0,2000.0,113.0,"Comedy,Drama,Music",2000.0,Ben Carr,1981.0,,actor,"tt0146882,tt0845968,tt18277720,tt32573811",High Fidelity,FR,fr,0
